City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
Kudahuvadhoo,MV,83.41,2.67,72.89,few clouds,Kudahuvadhoo Retreat
Richards Bay,ZA,71.35,-28.78,32.04,broken clouds,BON Hotel Waterfront Richards Bay
Houston,US,77.0,29.76,-95.36,scattered clouds,"Hotel ICON, Autograph Collection"
Sabha,LY,85.12,27.04,14.43,clear sky,محطة ام الارانب -سبها مواصلات
Tabuk,PH,72.36,17.42,121.44,clear sky,Grand Zion Garden Resort Hotel
Umm Kaddadah,SD,89.47,13.6,26.69,clear sky,
Rajampet,IN,76.01,14.18,79.17,clear sky,Maruthi Prasanna
Cabo San Lucas,MX,84.99,22.89,-109.91,few clouds,Hotel Tesoro Los Cabos
San Andres,CO,86.0,12.58,-81.7,scattered clouds,Hotel Arena Blanca
Pisco,PE,75.0,-13.7,-76.22,clear sky,Hostal San Isidro Oficial
Kruisfontein,ZA,71.42,-34.0,24.73,clear sky,Oyster Bay House Rental
Praia,CV,89.6,14.92,-23.51,scattered clouds,LT Aparthotel
Caucaia,BR,89.6,-3.74,-38.65,few clouds,M.O.S. Logística - Filial Fortaleza
Puerto Quijarro,BO,85.82,-17.78,-57.77,broken clouds,Hotel palance
Tarata,BO,77.0,-17.62,-66.02,scattered clouds,TARA TARA Centro Alternativo Hosting
Tomatlan,MX,88.77,19.93,-105.25,few clouds,Norma franco
Aswan,EG,79.18,24.09,32.91,clear sky,Nuba Nile
Bacolod,PH,79.48,10.67,122.95,clear sky,Planta Hotel & Residences
Beruwala,LK,79.9,6.48,79.98,clear sky,The Eden Resort & Spa
Jalalpur,PK,71.6,32.64,74.22,smoke,Maher Tent Service
Galle,LK,79.45,6.04,80.22,clear sky,Amangalla
Waingapu,ID,79.32,-9.66,120.26,scattered clouds,Pondok Wisata Elim
Marzuq,YE,76.44,14.4,46.47,scattered clouds,
Matara,LK,77.05,5.95,80.54,clear sky,Amaloh Boutique Resort
Kinkala,CG,75.58,-4.36,14.76,broken clouds,Hotel la Vernande
Mersing,MY,82.4,2.43,103.84,clear sky,Timotel Hotel
Depok,ID,82.4,-6.4,106.82,haze,OYO 1880 Ambassador Residence
Ambon,ID,80.6,-3.7,128.18,scattered clouds,Swiss-Belhotel Ambon
Necochea,AR,75.99,-38.55,-58.74,clear sky,dyd -mar Hotel
Rahimatpur,IN,82.65,17.6,74.2,broken clouds,Swami Prasad Ice-cream parlor
Pandan,PH,80.08,14.05,124.17,clear sky,Bonifacio Lodge
Alenquer,BR,86.0,-1.94,-54.74,few clouds,Detinha Hotel
Riyadh,SA,86.0,24.69,46.72,dust,InterContinental Riyadh
Maningrida,AU,80.6,-12.07,134.27,few clouds,Dhukurrdji Lodge
Mana,GF,84.36,5.66,-53.78,broken clouds,LE SAMANA
Najran,SA,80.6,17.49,44.13,broken clouds,محمد هادي ال فطيح
Sumbe,AO,79.43,-11.21,13.84,overcast clouds,Hotel Ritz Sumbe
Yellandu,IN,81.23,17.6,80.33,scattered clouds,Chekuri Satyanarayana
Kalmunai,LK,80.6,7.42,81.82,clear sky,VS Villa
Limbe,CM,87.8,4.02,9.21,scattered clouds,The LK Hotel at Bonadikombo
Clearwater,US,82.99,27.97,-82.8,clear sky,Shephard's Beach Resort
San Vicente,AR,73.15,-26.62,-54.13,clear sky,Complejo Turístico Farelluk
Bathsheba,BB,80.44,13.22,-59.52,overcast clouds,Atlantis Hotel
Imbituba,BR,80.6,-28.24,-48.67,scattered clouds,Praia Hotel Imbituba
Manavalakurichi,IN,86.0,8.13,77.3,haze,Udaya Boys Hostel
