City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
Harper,LR,2020-04-03 17:08:16,4.38,-7.72,83.43,80,65,7.45,moderate rain,0.1811023622047244,0.0
Port-Gentil,GA,2020-04-03 17:08:16,-0.72,8.78,86.0,84,75,14.99,light rain,0.0,0.0
Shahpura,IN,2020-04-03 17:08:17,27.38,75.97,82.4,14,0,4.7,haze,0.0,0.0
Kayerkan,RU,2020-04-03 17:08:17,69.35,87.76,10.4,85,40,33.55,light snow,0.0,0.0
Iqaluit,CA,2020-04-03 17:08:17,63.75,-68.51,-2.0,58,5,23.04,clear sky,0.0,0.0
Kaitangata,NZ,2020-04-03 17:08:17,-46.28,169.85,54.0,85,98,1.01,overcast clouds,0.0,0.0
Esna,EG,2020-04-03 17:08:18,25.29,32.55,86.0,23,31,4.7,scattered clouds,0.0,0.0
Port Elizabeth,ZA,2020-04-03 17:03:47,-33.92,25.57,71.6,64,0,11.41,clear sky,0.0,0.0
Mahebourg,MU,2020-04-03 17:08:18,-20.41,57.7,75.2,94,40,3.36,scattered clouds,0.0,0.0
Sokoto,NG,2020-04-03 17:08:19,13.06,5.24,96.78,11,38,1.99,scattered clouds,0.0,0.0
Waipawa,NZ,2020-04-03 17:08:19,-41.41,175.52,55.4,93,42,9.17,light rain,0.015748031496062995,0.0
Cape Town,ZA,2020-04-03 17:04:56,-33.93,18.42,75.0,60,54,9.17,broken clouds,0.0,0.0
Changping,CN,2020-04-03 17:08:19,40.22,116.22,66.0,13,0,15.66,clear sky,0.0,0.0
Port Alfred,ZA,2020-04-03 17:08:19,-33.59,26.89,73.53,75,10,14.94,clear sky,0.0,0.0
East London,ZA,2020-04-03 17:03:20,-33.02,27.91,74.35,73,55,18.75,broken clouds,0.0,0.0
Kununurra,AU,2020-04-03 17:07:21,-15.77,128.73,84.2,79,27,4.7,scattered clouds,0.0,0.0
Concepcion,CL,2020-04-03 17:07:50,-36.83,-73.05,66.2,52,100,10.29,overcast clouds,0.0,0.0
Madoc,CA,2020-04-03 17:08:20,44.51,-77.47,48.0,81,90,12.75,light rain,0.0,0.0
Marawi,PH,2020-04-03 17:08:20,8.0,124.29,67.93,73,27,3.09,light rain,0.01141732283464567,0.0
Wajima,JP,2020-04-03 17:08:21,37.4,136.9,52.14,61,0,15.01,clear sky,0.0,0.0
Minab,IR,2020-04-03 17:08:21,27.15,57.08,78.8,74,75,2.24,broken clouds,0.0,0.0
Grants,US,2020-04-03 17:08:21,35.15,-107.85,51.8,34,1,5.82,clear sky,0.0,0.0
Port Hedland,AU,2020-04-03 17:08:21,-20.32,118.57,77.0,73,5,5.08,clear sky,0.0,0.0
Katsuura,JP,2020-04-03 17:08:22,35.13,140.3,57.0,82,75,5.82,broken clouds,0.0,0.0
Chimore,BO,2020-04-03 17:08:22,-16.98,-65.13,79.68,72,95,1.63,light rain,0.040944881889763786,0.0
Chokurdakh,RU,2020-04-03 17:08:22,70.63,147.92,-17.54,89,86,4.54,overcast clouds,0.0,0.0
Wagar,SD,2020-04-03 17:08:22,16.15,36.2,79.45,28,24,21.88,few clouds,0.0,0.0
Benghazi,LY,2020-04-03 17:08:22,32.12,20.07,79.23,25,5,20.58,clear sky,0.0,0.0
Thompson,CA,2020-04-03 17:08:22,55.74,-97.86,26.6,92,90,6.93,light snow,0.0,0.0
Nhulunbuy,AU,2020-04-03 17:08:22,-12.23,136.77,81.77,71,58,6.64,broken clouds,0.0,0.0
Kurayoshi,JP,2020-04-03 17:08:23,35.43,133.82,42.8,93,20,4.7,few clouds,0.0,0.0
Castro,BR,2020-04-03 17:07:54,-24.79,-50.01,70.92,26,0,6.51,clear sky,0.0,0.0
Ostrovnoy,RU,2020-04-03 17:08:23,68.05,39.51,31.03,95,80,17.83,light snow,0.0,0.008661417322834646
Haines Junction,CA,2020-04-03 17:08:23,60.75,-137.51,20.8,85,100,0.67,light snow,0.0,0.013385826771653545
Nokaneng,BW,2020-04-03 17:08:23,-19.67,22.27,68.76,53,90,5.37,overcast clouds,0.0,0.0
Saskylakh,RU,2020-04-03 17:08:23,71.92,114.08,26.24,97,100,19.17,light snow,0.0,0.030708661417322838
Xinyang,CN,2020-04-03 17:05:07,32.12,114.07,53.47,56,98,1.61,overcast clouds,0.0,0.0
Mount Isa,AU,2020-04-03 17:08:24,-20.73,139.5,80.6,61,75,5.82,broken clouds,0.0,0.0
Uyemskiy,RU,2020-04-03 17:08:24,64.47,40.85,37.4,74,40,4.47,scattered clouds,0.0,0.0
Kupang,ID,2020-04-03 17:08:24,-10.17,123.58,81.66,75,1,6.76,clear sky,0.0,0.0
San Carlos De Bariloche,AR,2020-04-03 17:04:26,-41.15,-71.31,62.6,36,20,18.34,few clouds,0.0,0.0
Batagay-Alyta,RU,2020-04-03 17:08:24,67.8,130.41,-9.09,78,0,4.36,clear sky,0.0,0.0
Caraballeda,VE,2020-04-03 17:08:24,10.61,-66.85,81.0,58,88,3.06,light rain,0.04133858267716536,0.0
Malmyzh,RU,2020-04-03 17:08:24,56.52,50.68,38.39,73,31,9.69,scattered clouds,0.0,0.0
Campoverde,PE,2020-04-03 17:08:25,-8.48,-74.81,98.56,40,50,1.41,scattered clouds,0.0,0.0
Northam,GB,2020-04-03 17:08:25,51.03,-4.22,55.4,71,20,6.98,few clouds,0.0,0.0
Bonthe,SL,2020-04-03 17:08:25,7.53,-12.51,84.67,72,61,13.4,broken clouds,0.0,0.0
Nexo,DK,2020-04-03 17:08:25,55.06,15.13,44.6,65,13,18.34,few clouds,0.0,0.0
Busselton,AU,2020-04-03 17:08:25,-33.65,115.33,55.0,40,44,11.99,scattered clouds,0.0,0.0
Wad Rawah,SD,2020-04-03 17:08:25,15.16,33.14,89.17,10,32,12.3,scattered clouds,0.0,0.0
Gulabpura,IN,2020-04-03 17:06:07,25.9,74.67,77.72,14,0,6.87,clear sky,0.0,0.0
Barrow,US,2020-04-03 17:08:26,71.29,-156.79,8.6,78,90,8.05,overcast clouds,0.0,0.0
Juneau,US,2020-04-03 17:06:46,58.3,-134.42,32.0,46,90,9.17,overcast clouds,0.0,0.0
Airai,TL,2020-04-03 17:08:26,-8.93,125.41,60.66,70,60,1.16,broken clouds,0.0,0.0
Verkhnevilyuysk,RU,2020-04-03 17:08:26,63.45,120.32,17.06,93,98,8.21,overcast clouds,0.0,0.0
Dunedin,NZ,2020-04-03 17:05:16,-45.87,170.5,55.99,86,100,1.01,overcast clouds,0.0,0.0
Liverpool,GB,2020-04-03 17:08:26,53.41,-2.98,53.6,58,20,9.17,few clouds,0.0,0.0
Hun,LY,2020-04-03 17:08:27,29.13,15.95,87.21,10,14,11.21,few clouds,0.0,0.0
Gamba,GA,2020-04-03 17:08:27,-2.65,10.0,81.14,84,87,9.35,overcast clouds,0.0,0.0
Soma,TR,2020-04-03 17:08:27,39.19,27.61,53.6,66,40,1.12,scattered clouds,0.0,0.0
Rawson,AR,2020-04-03 17:08:27,-43.3,-65.1,76.71,21,31,5.64,scattered clouds,0.0,0.0
Mandalgovi,MN,2020-04-03 17:08:27,45.76,106.27,39.7,30,0,3.36,clear sky,0.0,0.0
Chifeng,CN,2020-04-03 17:08:28,42.27,118.96,33.4,50,0,15.66,clear sky,0.0,0.0
Campina Verde,BR,2020-04-03 17:08:28,-19.54,-49.49,80.83,69,49,9.37,moderate rain,0.12086614173228347,0.0
Gornopravdinsk,RU,2020-04-03 17:08:28,60.05,69.9,31.26,96,28,7.92,scattered clouds,0.0,0.0
Kapaa,US,2020-04-03 17:06:23,22.08,-159.32,71.6,94,90,5.79,light rain,0.0,0.0
College,US,2020-04-03 17:08:28,64.86,-147.8,30.0,86,90,2.42,light snow,0.0,0.0
