,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
87,Nouadhibou,MR,2020-04-02 19:48:26,20.93,-17.03,66.2,82,22,19.46,few clouds,0.0,0.0
88,Upernavik,GL,2020-04-02 19:48:47,72.79,-56.15,-2.43,89,86,10.42,overcast clouds,0.0,0.0
89,Vostok,RU,2020-04-02 19:47:53,46.49,135.88,20.3,80,0,10.33,clear sky,0.0,0.0
90,Acapulco,MX,2020-04-02 19:50:08,16.86,-99.89,87.8,66,5,8.05,clear sky,0.0,0.0
91,Bongandanga,CD,2020-04-02 19:50:09,1.5,21.05,75.85,77,58,2.13,light rain,0.02519685039370079,0.0
92,Naze,JP,2020-04-02 19:50:09,28.37,129.48,62.6,77,75,4.7,broken clouds,0.0,0.0
93,Ribeira Grande,PT,2020-04-02 19:46:16,38.52,-28.7,61.14,87,100,8.95,light rain,0.03228346456692913,0.0
94,Viedma,AR,2020-04-02 19:50:10,-40.81,-63.0,65.55,41,0,7.81,clear sky,0.0,0.0
95,Belaya Gora,RU,2020-04-02 19:50:10,68.53,146.42,-8.07,89,82,5.03,broken clouds,0.0,0.0
96,Lesnoy,RU,2020-04-02 19:50:10,57.62,63.08,28.2,94,55,11.07,broken clouds,0.0,0.0
97,Bodden Town,KY,2020-04-02 19:50:10,19.28,-81.25,86.0,62,20,8.05,few clouds,0.0,0.0
98,Mokhsogollokh,RU,2020-04-02 19:50:10,61.47,128.92,-0.06,90,99,5.26,overcast clouds,0.0,0.0
99,Chokurdakh,RU,2020-04-02 19:48:49,70.63,147.92,-10.73,90,92,6.58,overcast clouds,0.0,0.0
100,Dudinka,RU,2020-04-02 19:50:11,69.41,86.18,28.4,92,90,42.5,overcast clouds,0.0,0.0
101,Porto Novo,BJ,2020-04-02 19:50:11,6.5,2.6,84.2,79,20,4.7,few clouds,0.0,0.0
102,Caravelas,BR,2020-04-02 19:50:12,-17.71,-39.25,80.51,80,15,9.26,few clouds,0.0,0.0
103,Yellowknife,CA,2020-04-02 19:44:26,62.46,-114.35,-2.0,64,90,14.99,light snow,0.0,0.0
104,Maceio,BR,2020-04-02 19:49:51,-9.67,-35.74,84.2,74,75,9.17,broken clouds,0.0,0.0
105,Luderitz,NA,2020-04-02 19:49:01,-26.65,15.16,68.0,64,0,2.24,clear sky,0.0,0.0
106,Vardo,NO,2020-04-02 19:50:12,70.37,31.11,15.8,85,100,3.36,overcast clouds,0.0,0.0
107,Rio Gallegos,AR,2020-04-02 19:50:13,-51.62,-69.22,62.6,39,75,12.75,broken clouds,0.0,0.0
108,Georgetown,MY,2020-04-02 19:45:10,5.41,100.34,82.4,94,20,3.15,few clouds,0.0,0.0
109,Narsaq,GL,2020-04-02 19:50:14,60.92,-46.05,26.6,63,40,3.36,scattered clouds,0.0,0.0
110,Thompson,CA,2020-04-02 19:46:40,55.74,-97.86,30.2,92,90,6.93,light snow,0.0,0.0
111,Richards Bay,ZA,2020-04-02 19:50:14,-28.78,32.04,68.2,68,65,4.43,broken clouds,0.0,0.0
112,Port Lincoln,AU,2020-04-02 19:50:14,-34.73,135.87,60.3,76,10,12.84,clear sky,0.0,0.0
113,Iqaluit,CA,2020-04-02 19:48:48,63.75,-68.51,5.0,54,5,6.93,clear sky,0.0,0.0
114,Itoman,JP,2020-04-02 19:49:21,26.12,127.67,68.0,64,75,6.93,broken clouds,0.0,0.0
115,Ilulissat,GL,2020-04-02 19:49:15,69.22,-51.1,1.4,59,20,5.82,few clouds,0.0,0.0
116,Praia Da Vitoria,PT,2020-04-02 19:50:15,38.73,-27.07,60.8,100,90,17.69,light intensity drizzle rain,0.0,0.0
117,Yarmouth,US,2020-04-02 19:50:15,41.71,-70.23,48.2,81,90,17.22,light rain,0.0,0.0
118,Pontianak,ID,2020-04-02 19:49:03,-0.03,109.33,77.88,86,88,3.0,overcast clouds,0.0,0.0
119,Khatassy,RU,2020-04-02 19:50:16,61.9,129.64,1.4,64,95,8.95,overcast clouds,0.0,0.0
120,Haines Junction,CA,2020-04-02 19:49:12,60.75,-137.51,25.77,82,13,1.66,few clouds,0.0,0.0
121,Pangnirtung,CA,2020-04-02 19:50:17,66.15,-65.71,-4.0,64,5,3.36,clear sky,0.0,0.0
122,Bethel,US,2020-04-02 19:48:22,41.37,-73.41,57.2,43,90,18.34,overcast clouds,0.0,0.0
123,Severo-Yeniseyskiy,RU,2020-04-02 19:50:17,60.37,93.04,29.95,83,4,7.52,clear sky,0.0,0.0
124,Rio Cuarto,AR,2020-04-02 19:49:44,-33.13,-64.35,73.4,28,0,10.29,clear sky,0.0,0.0
125,Liberty,US,2020-04-02 19:50:17,31.83,-81.5,71.6,35,1,8.05,clear sky,0.0,0.0
126,Olafsvik,IS,2020-04-02 19:48:49,64.89,-23.71,29.1,85,19,16.46,few clouds,0.0,0.0
127,Galle,LK,2020-04-02 19:49:45,6.04,80.22,76.35,83,0,10.63,clear sky,0.0,0.0
128,Tomatlan,MX,2020-04-02 19:50:18,19.93,-105.25,88.14,31,0,12.62,clear sky,0.0,0.0
129,San Cristobal,VE,2020-04-02 19:50:18,7.77,-72.22,87.8,58,20,9.17,smoke,0.0,0.0
