City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Hofn,IS,2020-03-31 20:54:07,64.25,-15.21,40.96,70,88,15.64
122,Kollam,IN,2020-03-31 20:54:07,8.88,76.6,84.2,70,40,5.46
123,Pisco,PE,2020-03-31 20:54:07,-13.7,-76.22,73.99,30,75,4.7
124,Touros,BR,2020-03-31 20:54:07,-5.2,-35.46,82.4,83,40,9.17
125,Mahebourg,MU,2020-03-31 20:54:07,-20.41,57.7,78.8,94,20,3.36
126,Padina,RS,2020-03-31 20:54:08,45.12,20.73,37.99,43,97,2.24
127,Tautira,PF,2020-03-31 20:54:08,-17.73,-149.15,86.0,70,2,3.36
128,Albany,US,2020-03-31 20:50:04,42.6,-73.97,48.2,57,90,5.82
129,Basco,PH,2020-03-31 20:54:08,20.45,121.97,79.95,81,16,5.19
130,Humaita,BR,2020-03-31 20:54:08,-7.51,-63.02,85.53,77,80,1.88
131,Muros,ES,2020-03-31 20:54:08,42.78,-9.06,52.0,93,40,3.36
132,Elat,IL,2020-03-31 20:54:08,29.56,34.95,75.2,41,75,11.41
133,Yinchuan,CN,2020-03-31 20:54:09,38.47,106.27,39.0,22,98,12.01
134,Hilton Head Island,US,2020-03-31 20:54:09,32.22,-80.75,73.4,77,75,4.7
135,Atuona,PF,2020-03-31 20:54:09,-9.8,-139.03,82.18,80,1,15.46
136,Severo-Kurilsk,RU,2020-03-31 20:54:09,50.68,156.12,35.1,85,100,15.08
137,Naryan-Mar,RU,2020-03-31 20:54:09,67.67,53.09,7.14,95,1,3.42
138,Gavle,SE,2020-03-31 20:54:09,60.67,17.14,43.0,52,92,4.0
139,Aklavik,CA,2020-03-31 20:54:09,68.22,-135.01,14.0,39,5,12.75
140,Barceloneta,PR,2020-03-31 20:54:09,18.45,-66.54,84.0,65,20,11.41
141,Vao,NC,2020-03-31 20:54:10,-22.67,167.48,74.39,74,1,16.82
142,Aguimes,ES,2020-03-31 20:54:10,27.91,-15.45,66.2,77,75,3.36
143,Acapulco,MX,2020-03-31 20:54:10,16.86,-99.89,87.8,62,5,10.29
144,Henties Bay,NA,2020-03-31 20:51:49,-22.12,14.28,60.01,89,0,3.0
145,Torbay,CA,2020-03-31 20:54:10,47.67,-52.73,37.0,98,90,4.7
146,Ambilobe,MG,2020-03-31 20:54:10,-13.2,49.05,76.64,89,71,1.99
147,Niquero,CU,2020-03-31 20:54:10,20.04,-77.58,84.31,54,0,10.94
148,Ancud,CL,2020-03-31 20:52:02,-41.87,-73.82,59.0,51,13,8.05
149,Port Elizabeth,ZA,2020-03-31 20:54:11,-33.92,25.57,62.6,77,26,18.34
150,Vyartsilya,RU,2020-03-31 20:54:11,62.18,30.69,28.09,97,100,12.19
151,Hobart,AU,2020-03-31 20:49:12,-42.88,147.33,54.0,81,20,5.82
152,Port Pirie,AU,2020-03-31 20:54:11,-33.18,138.02,64.4,82,40,9.17
153,Tikapur,NP,2020-03-31 20:54:11,28.5,81.13,72.27,24,55,5.79
154,Tuatapere,NZ,2020-03-31 20:54:11,-46.13,167.68,50.0,98,51,3.13
155,Tete,MZ,2020-03-31 20:54:12,-16.16,33.59,77.0,61,8,6.93
156,Ishikawa,JP,2020-03-31 20:54:12,26.42,127.82,73.4,94,90,11.41
157,Daru,PG,2020-03-31 20:54:12,-9.08,143.21,78.28,91,100,2.3
158,Ocos,GT,2020-03-31 20:54:12,14.51,-92.19,95.0,41,40,13.87
159,Naron,ES,2020-03-31 20:54:12,43.52,-8.15,52.0,76,20,6.93
160,Tasiilaq,GL,2020-03-31 20:50:39,65.61,-37.64,30.2,39,2,28.86
161,Lukiv,UA,2020-03-31 20:54:12,51.05,25.4,30.25,88,31,6.38
162,East London,ZA,2020-03-31 20:54:12,-33.02,27.91,68.85,84,100,20.4
163,Chokurdakh,RU,2020-03-31 20:51:08,70.63,147.92,-6.36,91,90,5.44
164,Grindavik,IS,2020-03-31 20:54:13,63.84,-22.43,37.4,74,75,27.51
165,Umm Kaddadah,SD,2020-03-31 20:54:13,13.6,26.69,83.01,12,12,11.81
166,Veraval,IN,2020-03-31 20:54:13,20.9,70.37,72.16,82,0,10.29
167,Kodiak,US,2020-03-31 20:51:41,57.79,-152.41,35.6,37,1,6.93
168,Mar Del Plata,AR,2020-03-31 20:54:13,-38.0,-57.56,66.99,55,40,16.11
